org_id,org_name,industry,location,contact_person,contact_phone,contact_email,required_domains,required_skills,offered_stipend,duration_months,positions,preferred_degree,remote_allowed,description
O001,Solutions Systems 30,Telecom,Bengaluru,Rohan Verma,7981388158,hr1@solutionssystems30.com,Blockchain,MATLAB;MongoDB;PyTorch;Java;Docker,"₹20,000 - ₹40,000",2,3,B.Tech,True,Solutions Systems 30 is looking for interns in Blockchain. Good for hands-on projects.
O002,Next Innovations 80,Research,Delhi,Ananya Joshi,9572450000,hr2@nextinnovations80.com,Web Development,Flutter;TensorFlow;Node.js,Unpaid,2,8,MCA,True,Next Innovations 80 is looking for interns in Web Development. Good for hands-on projects.
O003,Next Labs 48,Software,Jaipur,Sonia Saxena,9255618444,hr3@nextlabs48.com,Machine Learning;Civil Engineering,Excel;Figma;Android;Tableau,"₹40,000+",1,3,B.Sc,True,"Next Labs 48 is looking for interns in Machine Learning, Civil Engineering. Good for hands-on projects."
O004,Next Systems 6,Manufacturing,Kolkata,Shruti Verma,7670090043,hr4@nextsystems6.com,NLP;Computer Vision;Machine Learning;Finance,CSS;R;SQL;Azure;Keras;Android;C++,"₹5,000 - ₹10,000",6,3,Any,False,"Next Systems 6 is looking for interns in NLP, Computer Vision, Machine Learning, Finance. Good for hands-on projects."
O005,Labs Studios 48,Energy,Mumbai,Priya Malhotra,9960807063,hr5@labsstudios48.com,UI/UX;Civil Engineering,SolidWorks;JavaScript;PyTorch;MongoDB;Java;R,"₹10,000 - ₹20,000",1,2,B.Sc,False,"Labs Studios 48 is looking for interns in UI/UX, Civil Engineering. Good for hands-on projects."
O006,Next Global 72,E-commerce,Mumbai,Yash Kapoor,7287738363,hr6@nextglobal72.com,Digital Marketing,Scikit-learn;SQL;React;Azure;Android,Negotiable,2,9,MCA,False,Next Global 72 is looking for interns in Digital Marketing. Good for hands-on projects.
O007,Systems Innovations 3,AgriTech,Kolkata,Simran Gupta,8863144170,hr7@systemsinnovations3.com,DevOps;Digital Marketing;IoT;NLP,Android;Java;PyTorch;Azure;NumPy,Negotiable,3,6,B.Sc,True,"Systems Innovations 3 is looking for interns in DevOps, Digital Marketing, IoT, NLP. Good for hands-on projects."
O008,Labs Ventures 94,Software,Jaipur,Aditya Nair,8464489880,hr8@labsventures94.com,Mobile App;NLP,PowerBI;R;PyTorch;CSS,"₹10,000 - ₹20,000",2,8,B.Sc,True,"Labs Ventures 94 is looking for interns in Mobile App, NLP. Good for hands-on projects."
O009,Tech Studios 88,Energy,Mumbai,Ritika Malhotra,9333538495,hr9@techstudios88.com,Digital Marketing,SQL;Django;Node.js;Linux,"₹40,000+",6,2,Any,True,Tech Studios 88 is looking for interns in Digital Marketing. Good for hands-on projects.
O010,Labs Innovations 76,FinTech,Jaipur,Rahul Jain,8326530601,hr10@labsinnovations76.com,Finance,Tableau;Flutter;AWS;Django;NumPy;HTML;Docker,"₹20,000 - ₹40,000",12,9,B.Tech,True,Labs Innovations 76 is looking for interns in Finance. Good for hands-on projects.
O011,Solutions Innovations 4,Telecom,Mumbai,Kavya Kumar,8618298036,hr11@solutionsinnovations4.com,Mechanical Design;Finance;Blockchain,Flask;GCP;Python;Pandas;Azure,"₹10,000 - ₹20,000",12,6,B.Tech,True,"Solutions Innovations 4 is looking for interns in Mechanical Design, Finance, Blockchain. Good for hands-on projects."
