application_id,student_id,org_id,applied_on,status,matching_score,student_projects,org_required_skills,org_required_domains
A00001,S0476,O026,2025-11-25,Applied,16.7,Predictive maintenance for machines;Attendance app using face recognition,Flask;Linux;Figma;C++;Keras;Docker,Web Development;Mechanical Design;Civil Engineering;UI/UX
A00002,S0071,O011,2026-04-02,Applied,0.0,Expense tracker app;Sentiment analysis for reviews;Real-time object detection,Flask;GCP;Python;Pandas;Azure,Mechanical Design;Finance;Blockchain
A00003,S0485,O057,2025-12-20,Shortlisted,0.0,Predictive maintenance for machines;Blockchain-based certificate verification;Attendance app using face recognition,React;Flutter;PyTorch;Java,Biotech;Web Development;Computer Vision
A00004,S0378,O060,2025-11-18,Shortlisted,0.0,Real-time object detection,Excel;PowerBI;Android,Embedded Systems;Mobile App;Machine Learning;Business Analytics
A00005,S0226,O033,2025-12-24,Applied,0.0,Sentiment analysis for reviews;Inventory management tool,Flutter;Tableau;Android,Digital Marketing;Civil Engineering;Computer Vision
A00006,S0006,O035,2025-11-03,Applied,20.0,Chatbot for student queries,SQL;Django;Android;Node.js;Java,Finance
A00007,S0014,O017,2026-02-05,Applied,0.0,Energy optimization dashboard;Inventory management tool;Recommendation system for courses,C++;GCP;JavaScript;Figma;React;Keras;Flutter,UI/UX;Digital Marketing
A00008,S0243,O021,2026-01-19,Interview,25.0,Blockchain-based certificate verification;E-commerce website;Predictive maintenance for machines,CSS;JavaScript;Tableau;Kubernetes,UI/UX;Embedded Systems;Data Science;NLP
A00009,S0425,O054,2025-11-05,Offered,0.0,Chatbot for student queries;Crop yield predictor,MATLAB;Node.js;C++;Android,Data Science;Business Analytics
A00010,S0195,O037,2025-10-11,Applied,40.0,Crop yield predictor;Sentiment analysis for reviews;Energy optimization dashboard,Flask;Node.js;Docker;MATLAB;JavaScript,IoT;Electrical Systems;Embedded Systems
A00011,S0207,O006,2026-04-03,Shortlisted,20.0,Resume parser;Blockchain-based certificate verification,Scikit-learn;SQL;React;Azure;Android,Digital Marketing
A00012,S0044,O060,2025-10-30,Shortlisted,33.3,Real-time object detection;Health monitoring wearable;Resume parser,Excel;PowerBI;Android,Embedded Systems;Mobile App;Machine Learning;Business Analytics
A00013,S0256,O044,2026-02-18,Applied,0.0,IoT-based smart irrigation;Sentiment analysis for reviews;Inventory management tool,R;Scikit-learn;MongoDB;SQL,Mechanical Design;Computer Vision
A00014,S0085,O039,2026-03-10,Applied,0.0,Attendance app using face recognition;Expense tracker app;Recommendation system for courses;Chatbot for student queries,React;R;Pandas;PyTorch,NLP;DevOps
A00015,S0463,O033,2025-10-28,Applied,0.0,Crop yield predictor;Automated essay grader;Virtual lab for circuits,Flutter;Tableau;Android,Digital Marketing;Civil Engineering;Computer Vision
A00016,S0386,O026,2026-02-15,Rejected,16.7,E-commerce website;Resume parser,Flask;Linux;Figma;C++;Keras;Docker,Web Development;Mechanical Design;Civil Engineering;UI/UX
A00017,S0344,O060,2026-01-20,Interview,0.0,IoT-based smart irrigation;Attendance app using face recognition,Excel;PowerBI;Android,Embedded Systems;Mobile App;Machine Learning;Business Analytics
A00018,S0026,O018,2025-10-01,Shortlisted,0.0,Resume parser;Health monitoring wearable;Crop yield predictor,SolidWorks;GCP;Flask,DevOps
A00019,S0118,O046,2025-10-20,Applied,0.0,Real-time object detection,SolidWorks;JavaScript;Node.js;iOS;Django;Scikit-learn;MongoDB,Biotech;IoT
A00020,S0405,O006,2026-02-15,Applied,20.0,Health monitoring wearable,Scikit-learn;SQL;React;Azure;Android,Digital Marketing
A00021,S0182,O028,2025-10-01,Applied,25.0,Virtual lab for circuits;E-commerce website;Crop yield predictor,Java;MATLAB;NumPy;Excel,Civil Engineering;Web Development;IoT
A00022,S0283,O042,2025-11-22,Applied,0.0,Resume parser,Docker;Flutter;React,UI/UX;IoT
A00023,S0146,O044,2026-03-15,Shortlisted,25.0,Automated essay grader;Image classifier for plant disease,R;Scikit-learn;MongoDB;SQL,Mechanical Design;Computer Vision
A00024,S0115,O022,2026-03-24,Applied,0.0,IoT-based smart irrigation,Azure;R;Excel,Data Science;IoT;Machine Learning;Blockchain
A00025,S0055,O050,2026-01-15,Shortlisted,0.0,Expense tracker app,SolidWorks;Flutter;Verilog;AWS;SQL;Tableau,Mobile App;Embedded Systems;Blockchain;Cybersecurity
